Matt_Dominguez	14	13	5	1	0	0	2	1	1	0.385	0.429	0.462	0.89	0	0	0	0	0
J.J._Hardy	14	14	4	1	0	1	2	0	3	0.286	0.286	0.571	0.857	0	0	0	0	0
Aaron_Hicks	14	13	2	1	0	0	1	1	5	0.154	0.214	0.231	0.445	0	0	0	0	0
Adam_Jones	14	12	7	2	0	2	4	2	2	0.583	0.643	1.25	1.893	0	0	0	0	0
Kyle_Seager	14	13	2	0	0	2	5	1	4	0.154	0.214	0.615	0.83	0	0	0	0	0
Kurt_Suzuki	14	13	2	1	0	0	0	1	4	0.154	0.214	0.231	0.445	0	0	0	0	0
Jose_Bautista	13	13	1	0	0	1	2	0	4	0.077	0.077	0.308	0.385	0	0	0	0	0
Jamey_Carroll	13	11	3	0	0	0	2	1	0	0.273	0.308	0.273	0.58	0	1	0	0	0
Shin-Soo_Choo	13	12	6	5	0	0	1	1	2	0.5	0.538	0.917	1.455	0	0	0	0	0
Chris_Colabello	13	11	4	2	0	0	5	2	3	0.364	0.462	0.545	1.007	0	0	0	0	1
Ryan_Doumit	13	12	3	1	0	0	2	0	3	0.25	0.308	0.333	0.641	0	0	0	1	1
Jeff_Francoeur	13	10	6	1	0	1	1	3	3	0.6	0.692	1	1.692	0	0	1	0	0
Nick_Markakis	13	12	2	1	0	0	0	1	4	0.167	0.231	0.25	0.481	0	0	0	0	1
Paulo_Orlando	13	13	6	3	0	0	3	0	2	0.462	0.462	0.692	1.154	0	0	0	0	0
Anthony_Rizzo	13	12	3	2	0	0	0	0	2	0.25	0.308	0.417	0.724	0	0	0	1	0
Elvis_Andrus	12	12	2	0	0	0	1	0	1	0.167	0.167	0.167	0.333	0	0	0	0	1
J.P._Arencibia	12	11	3	0	0	1	1	1	3	0.273	0.333	0.545	0.879	0	0	0	0	0
Erick_Aybar	12	11	1	0	0	0	0	0	2	0.091	0.091	0.091	0.182	1	0	0	0	0
